Area,Value,Year
Africa,8.55872011251758,1961
Africa,8.087025861723527,1962
Africa,8.50705995677098,1963
Africa,8.324071911286715,1964
Africa,8.616445897257751,1965
Africa,8.620813515951253,1966
Africa,8.559396161980713,1967
Africa,9.026062450029485,1968
Africa,8.398277874132006,1969
Africa,9.01459636107256,1970
Africa,8.336269430051814,1971
Africa,9.14863368448189,1972
Africa,8.694003347039535,1973
Africa,8.699976278308691,1974
Africa,8.754094773129264,1975
Africa,8.503966270446002,1976
Africa,8.882351033118168,1977
Africa,8.661438267487936,1978
Africa,9.10393538975292,1979
Africa,9.214079826375936,1980
Africa,8.66715331692659,1981
Africa,8.545630536137791,1982
Africa,8.8558915751528,1983
Africa,9.066665658795191,1984
Africa,9.978726046231204,1985
Africa,10.010953191581306,1986
Africa,11.096283451936205,1987
Africa,11.044793241579251,1988
Africa,11.045270699596374,1989
Africa,11.076439584948877,1990
Africa,11.227221904701697,1991
Africa,11.19107132640952,1992
Africa,11.606532627518499,1993
Africa,11.234556887270626,1994
Africa,12.278481977047536,1995
Africa,12.330990469444716,1996
Africa,11.887876216228543,1997
Africa,12.548139197453454,1998
Africa,11.002462875052831,1999
Africa,10.64885184872121,2000
Africa,11.210289801867587,2001
Africa,11.03495649557615,2002
Africa,11.36338616952176,2003
Africa,10.927866440286119,2004
Africa,11.34618782839914,2005
Africa,12.295730200966215,2006
Africa,12.036991811217753,2007
Africa,13.816322386426222,2008
Africa,13.125897628202813,2009
Africa,14.760923359307949,2010
Africa,14.559206535254098,2011
Africa,15.465039931796998,2012
Africa,15.186977925839118,2013
Africa,14.977496979982165,2014
Africa,15.242203094566731,2015
Africa,14.318982660200124,2016
Africa,14.654664082268107,2017
Africa,15.314634666539494,2018
Africa,15.740884628590974,2019
Africa,15.777121531033874,2020
Africa,15.590178894801253,2021
Asia,9.952776813443549,1961
Asia,9.44269634430143,1962
Asia,8.903892892134238,1963
Asia,9.2885187991153,1964
Asia,10.044740045641518,1965
Asia,9.581175524954629,1966
Asia,9.542293026976116,1967
Asia,9.808875152183415,1968
Asia,10.593259078864603,1969
Asia,10.909340855474808,1970
Asia,10.95641056579826,1971
Asia,10.834268713232808,1972
Asia,12.7277722707267,1973
Asia,12.229037395821033,1974
Asia,11.820521572474314,1975
Asia,12.087735391508652,1976
Asia,13.198684039862355,1977
Asia,12.916720312554268,1978
Asia,12.044398100480123,1979
Asia,12.17450332387774,1980
Asia,11.721786198840395,1981
Asia,12.32684232736458,1982
Asia,12.598153069505939,1983
Asia,13.222571452305512,1984
Asia,12.804770189801882,1985
Asia,11.996899553183114,1986
Asia,12.724185419563616,1987
Asia,13.342803533907894,1988
Asia,13.184685404108727,1989
Asia,13.343769524210177,1990
Asia,13.062425032605276,1991
Asia,14.332619069481,1992
Asia,15.51970678253179,1993
Asia,15.05924494718503,1994
Asia,14.892395751756519,1995
Asia,15.461155349258151,1996
Asia,16.3268994975646,1997
Asia,15.985125345224315,1998
Asia,14.474077630046278,1999
Asia,15.471842774836022,2000
Asia,15.175689949957732,2001
Asia,16.309637446537977,2002
Asia,16.11524633499927,2003
Asia,16.88851723865045,2004
Asia,16.148669720619015,2005
Asia,16.584214523382876,2006
Asia,15.880435907947218,2007
Asia,16.785489254665876,2008
Asia,16.180245160028193,2009
Asia,17.496690250986457,2010
Asia,18.45956991760322,2011
Asia,18.49110440899027,2012
Asia,19.05271762650035,2013
Asia,19.07806271403133,2014
Asia,19.308693969420503,2015
Asia,18.94881461237814,2016
Asia,19.67671123180526,2017
Asia,20.595382806866404,2018
Asia,22.329297855893262,2019
Asia,21.146256869504573,2020
Asia,19.038065562767787,2021
Europe,12.48992140359159,1961
Europe,11.64917098673539,1962
Europe,12.788530506115935,1963
Europe,13.871617698282641,1964
Europe,13.089700524476203,1965
Europe,13.815452624629444,1966
