Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2001","2001","1000 ha","2140","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2002","2002","1000 ha","1745","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2003","2003","1000 ha","2752","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2004","2004","1000 ha","2086","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2005","2005","1000 ha","2214","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2006","2006","1000 ha","2307","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2007","2007","1000 ha","2252","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2008","2008","1000 ha","2191","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2009","2009","1000 ha","1836","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2010","2010","1000 ha","1896","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2011","2011","1000 ha","2044","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2012","2012","1000 ha","2072","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2013","2013","1000 ha","2092","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2014","2014","1000 ha","2177","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2015","2015","1000 ha","2165","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2016","2016","1000 ha","2457","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2017","2017","1000 ha","2271","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2018","2018","1000 ha","1947","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2019","2019","1000 ha","2283","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2020","2020","1000 ha","2493","A","Official figure"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2021","2021","1000 ha","2493","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2007","2007","1000 ha","195","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2008","2008","1000 ha","118","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2009","2009","1000 ha","202","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2010","2010","1000 ha","204.5","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2011","2011","1000 ha","204.3","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2012","2012","1000 ha","204.7","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2013","2013","1000 ha","205.26","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2014","2014","1000 ha","149.8","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2015","2015","1000 ha","158","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2016","2016","1000 ha","169","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2017","2017","1000 ha","171","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2018","2018","1000 ha","176","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2019","2019","1000 ha","179","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2020","2020","1000 ha","182","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2021","2021","1000 ha","188","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2003","2003","1000 ha","722","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2004","2004","1000 ha","793","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2005","2005","1000 ha","825","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2006","2006","1000 ha","835","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2007","2007","1000 ha","905","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2008","2008","1000 ha","855.72","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2009","2009","1000 ha","884.34","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2010","2010","1000 ha","985.22","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2011","2011","1000 ha","987.01","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2012","2012","1000 ha","1042.92","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2013","2013","1000 ha","1089.5","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2014","2014","1000 ha","1136.259","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2015","2015","1000 ha","1215.261","A","Official figure"
"RL","Land Use","012","Algeria","5110","Area","6611","Agriculture area actually irrigated","2016","2016","1000 ha","1260.508","A","Official figure"
